#1
double Intgainconv_Intgainrad_COPMin(8760, 4)
#time_in_s	c_o_n_v	r_a_d	C_O_P_M_i_n
1220400	110.21333249999999	66.12799949999999	0
1224000	42.82497312500001	25.694983875000002	0
1227600	40.220165	24.132099000000004	0
1231200	49.86697625	29.920185749999998	0
1234800	753.9407924999999	452.36447549999997	0
1238400	157.04383625	94.22630174999999	0
1242000	1177.6928925000002	706.6157355	0
1245600	289.261385625	173.556831375	0
1249200	45.343053125	27.205831874999994	0
1252800	2090.36327875	1254.21796725	0
1256400	1652.6219750000002	991.573185	0
1260000	483.02150624999996	289.81290375000003	0
1263600	96.932476875	58.159486125	0
1267200	216.911190625	130.146714375	0
1270800	528.108654375	316.865192625	0
1274400	277.718071875	166.630843125	0
1278000	231.84776000000002	139.108656	0
1281600	551.23801875	330.74281125000005	0
1285200	584.92362125	350.95417275	0
1288800	146.58773	87.952638	0
1292400	50.99132125	30.594792750000003	0
1296000	39.264305	23.558583	0
1299600	75.50099875	45.30059925	0
1303200	63.594514374999996	38.156708625	0
1306800	55.649313125	33.389587875000004	0
1310400	38.020920624999995	22.812552375	0
1314000	117.14249937500001	70.285499625	0
1317600	848.6823893750001	509.20943362500003	0
1321200	1059.186789375	635.512073625	0
1324800	405.49850625	243.29910375000003	0
1328400	430.93527249999994	258.5611635	0
1332000	1178.914180625	707.3485083749999	0
1335600	174.15663750000002	104.4939825	0
1339200	1580.4731925	948.2839155	0
1342800	1953.748294375	1172.248976625	0
1346400	1188.3951825	713.0371095	0
1350000	1088.2504793750002	652.950287625	0
1353600	526.070806875	315.642484125	0
1357200	292.960528125	175.776316875	0
1360800	324.51293562499995	194.707761375	0
1364400	374.197214375	224.51832862499998	0
1368000	703.3020725	421.9812435	0
1371600	474.5857225	284.75143349999996	0
1375200	87.12961937499999	52.277771625	0
1378800	38.03154625	22.818927750000004	0
1382400	39.362986875	23.617792125	0
1386000	93.658895	56.195336999999995	0
1389600	81.89031	49.134186	0
1393200	38.147071875	22.888243125	0
1396800	38.078275624999996	22.846965375	0
1400400	47.072645625	28.243587374999997	0
1404000	147.807254375	88.68435262499999	0
1407600	943.17033125	565.90219875	0
1411200	1620.059529375	972.0357176250001	0
1414800	1727.141316875	1036.2847901249997	0
1418400	407.11847500000005	244.271085	0
1422000	152.37672062500002	91.426032375	0
1425600	184.856908125	110.914144875	0
1429200	75.13834812500001	45.083008875	0
1432800	133.728199375	80.236919625	0
1436400	146.01094812499997	87.606568875	0
1440000	215.358584375	129.215150625	0
1443600	266.62494625	159.97496775	0
1447200	315.732395625	189.439437375	0
1450800	736.7130418749999	442.02782512499994	0
1454400	712.5689406250001	427.541364375	0
1458000	272.94151624999995	163.76490975	0
1461600	68.474378125	41.084626875000005	0
1465200	38.76912	23.261472	0
1468800	39.741411875000004	23.844847125	0
1472400	59.287979375	35.572787625	0
1476000	90.696700625	54.418020375	0
1479600	57.992410625000005	34.795446375	0
1483200	38.44603625	23.06762175	0
1486800	81.779861875	49.067917125	0
1490400	993.140941875	595.884565125	0
1494000	213.08921812499997	127.853530875	0
1497600	877.085876875	526.251526125	0
1501200	604.9475175	362.9685105	0
1504800	94.08368125	56.45020875	0
1508400	2296.092108125	1377.655264875	0
1512000	1864.8300631250002	1118.898037875	0
1515600	60.35772624999999	36.21463575	0
1519200	1086.72116875	652.0327012500001	0
1522800	75.455706875	45.273424125000005	0
1526400	239.039288125	143.423572875	0
1530000	255.54057937499996	153.324347625	0
1533600	386.25583875	231.75350325	0
1537200	632.0534825000001	379.2320895	0
1540800	863.573024375	518.143814625	0
1544400	299.04037625	179.42422575	0
1548000	118.84198812499999	71.305192875	0
1551600	95.650061875	57.390037125	0
1555200	43.708283124999994	26.224969875	0
1558800	38.787287500000005	23.2723725	0
1562400	73.119859375	43.871915625	0
1566000	54.901823750000005	32.941094250000006	0
1569600	69.6824825	41.8094895	0
1573200	51.60630999999999	30.963786	0
1576800	41.21869625	24.73121775	0
1580400	919.91666625	551.94999975	0
1584000	761.934124375	457.160474625	0
1587600	1272.30529625	763.38317775	0
1591200	819.34179	491.605074	0
1594800	235.24895937499997	141.14937562499998	0
1598400	463.43379062500003	278.060274375	0
1602000	2128.3783449999996	1277.0270070000001	0
1605600	962.610239375	577.5661436249999	0
1609200	119.83727562499999	71.902365375	0
1612800	172.62970124999998	103.57782075	0
1616400	355.26290124999997	213.15774075	0
1620000	371.25886625	222.75531975	0
1623600	232.846925625	139.708155375	0
1627200	591.426685625	354.856011375	0
1630800	651.8424843749999	391.105490625	0
1634400	246.76680875	148.06008525000001	0
1638000	85.158076875	51.094846125	0
1641600	78.6991675	47.2195005	0
1645200	40.0134625	24.008077500000002	0
1648800	38.16981875	22.901891250000002	0
1652400	64.62245	38.77347	0
1656000	75.354941875	45.212965125000004	0
1659600	79.2080925	47.5248555	0
1663200	56.9763025	34.1857815	0
1666800	1152.0077824999998	691.2046695	0
1670400	432.17975125000004	259.30785075	0
1674000	130.84635250000002	78.5078115	0
1677600	120.145114375	72.087068625	0
1681200	65.04931562499999	39.029589375	0
1684800	77.65593125000001	46.59355875	0
1688400	136.406435	81.843861	0
1692000	1010.3843506250001	606.2306103750001	0
1695600	327.961139375	196.776683625	0
1699200	139.086068125	83.451640875	0
1702800	254.34734250000002	152.60840549999998	0
1706400	655.9225775	393.5535465	0
1710000	728.478003125	437.08680187500005	0
1713600	388.343514375	233.006108625	0
1717200	367.85381875	220.71229125000002	0
1720800	180.224923125	108.134953875	0
1724400	38.6105125	23.166307500000002	0
1728000	90.923225	54.553934999999996	0
1731600	49.74479062500001	29.846874375000002	0
1735200	51.380836875	30.828502125000004	0
1738800	69.476344375	41.685806625000005	0
1742400	37.995699374999994	22.797419625	0
1746000	133.507605625	80.104563375	0
1749600	505.762873125	303.45772387500006	0
1753200	848.6673224999998	509.2003935	0
1756800	527.9199925	316.7519955	0
1760400	121.94136375	73.16481825	0
1764000	621.036803125	372.622081875	0
1767600	1426.4873324999999	855.8923995	0
1771200	796.3671193749999	477.820271625	0
1774800	1106.057794375	663.634676625	0
1778400	72.635703125	43.581421875	0
1782000	909.8250762499999	545.89504575	0
1785600	177.51855312499998	106.511131875	0
1789200	299.3306325	179.5983795	0
1792800	590.147824375	354.088694625	0
1796400	774.3579025	464.6147415	0
1800000	315.779148125	189.46748887500004	0
1803600	261.626323125	156.975793875	0
1807200	307.53621375	184.52172825000002	0
1810800	168.4436575	101.0661945	0
1814400	38.115730625	22.869438374999998	0
1818000	39.908384375	23.945030624999998	0
1821600	75.736439375	45.441863625	0
1825200	104.46118062500001	62.676708375000004	0
1828800	38.366915625	23.020149375	0
1832400	38.048901875	22.829341125	0
1836000	38.09575375	22.85745225	0
1839600	209.16441687499997	125.498650125	0
1843200	1611.6166125	966.9699675	0
1846800	663.005568125	397.80334087499995	0
1850400	1428.9299875000002	857.3579925	0
1854000	1708.9099218750002	1025.345953125	0
1857600	1225.624044375	735.374426625	0
1861200	138.74457937499997	83.246747625	0
1864800	93.7079975	56.224798500000006	0
1868400	83.75881687500001	50.255290124999995	0
1872000	270.767865625	162.460719375	0
1875600	359.78431	215.87058599999997	0
1879200	563.3743725	338.02462349999996	0
1882800	676.150255625	405.690153375	0
1886400	209.28248499999998	125.569491	0
1890000	1545.14243875	927.0854632500001	0
1893600	1726.88665125	1036.1319907499999	0
1897200	336.272230625	201.76333837500002	0
1900800	37.912668125	22.747600875000003	0
1904400	40.461149375000005	24.276689625	0
1908000	55.739791249999996	33.44387475	0
1911600	82.505638125	49.503382875	0
1915200	81.31301375	48.787808250000005	0
1918800	216.249435625	129.749661375	0
1922400	120.43048125	72.25828875	0
1926000	1130.727365	678.4364190000001	0
1929600	1037.52262	622.5135720000001	0
1933200	1247.4427487500002	748.4656492500001	0
1936800	423.62563249999994	254.17537950000002	0
1940400	725.8315587499999	435.49893525	0
1944000	321.5883818749999	192.95302912499997	0
1947600	155.663110625	93.39786637499999	0
1951200	151.94999437500002	91.169996625	0
1954800	186.72388812499997	112.034332875	0
1958400	190.254045625	114.152427375	0
1962000	350.75547625	210.45328575	0
1965600	394.529696875	236.71781812499998	0
1969200	616.8546249999999	370.112775	0
1972800	655.9795081249999	393.587704875	0
1976400	195.83836625	117.50301974999999	0
1980000	183.51554374999998	110.10932625	0
1983600	208.53175812499998	125.119054875	0
1987200	80.83373875	48.50024324999999	0
1990800	39.031421875	23.418853125	0
1994400	80.54223375000001	48.32534025	0
1998000	39.36838625000001	23.62103175	0
2001600	54.122691874999994	32.473615125	0
2005200	87.123193125	52.27391587499999	0
2008800	65.58984687499999	39.353908125000004	0
2012400	746.734723125	448.04083387500003	0
2016000	953.3678431250001	572.020705875	0
2019600	695.882705625	417.52962337499997	0
2023200	605.0748550000001	363.04491299999995	0
2026800	279.201655	167.520993	0
2030400	2686.8297806250002	1612.0978683750002	0
2034000	1027.8831762500001	616.72990575	0
2037600	493.13434437499996	295.880606625	0
2041200	354.39684625	212.63810775000002	0
2044800	407.71057875	244.62634725	0
2048400	321.97808875	193.18685324999998	0
2052000	623.6117487500001	374.16704925	0
2055600	579.49683375	347.69810025	0
2059200	370.48446999999993	222.29068199999998	0
2062800	154.6926575	92.8155945	0
2066400	226.2207725	135.73246350000002	0
2070000	155.58132999999998	93.348798	0
2073600	82.48145	49.488870000000006	0
2077200	49.84959812500001	29.909758875	0
