time,livingroom__win_net_W,hobby__win_net_W,corridor__win_net_W,wcstorage__win_net_W,kitchen__win_net_W,bedroom__win_net_W,children__win_net_W,corridor2__win_net_W,bath__win_net_W,children2__win_net_W,attic__win_net_W
165600.0,-125.82512007144507,-63.20973460476406,0.0,-31.46000818346362,-94.30980805147766,-95.31314893003974,-63.81279592562302,-32.26648109661946,-31.805221608353268,-63.46015408795446,0.0
169200.0,-127.51323299424644,-64.04993960064772,0.0,-31.87802730359459,-95.58140604759824,-96.58992207647307,-64.65860369428232,-32.692185024479095,-32.23480264788235,-64.31582820161677,0.0
172800.0,-127.75555615987668,-64.1752930179794,0.0,-31.96489746182386,-95.85246990695298,-96.76687073673838,-64.77878016463507,-32.79858734455498,-32.41319528776082,-64.57335341438014,0.0
176400.0,-127.70455558224424,-64.13294689246081,0.0,-32.007062939588245,-96.02888392878035,-96.66863320808918,-64.69364676061473,-32.85708314566806,-32.63617309163231,-64.81595191197555,0.0
180000.0,-128.7096978534637,-64.82452576290403,0.0,-32.25437288403541,-96.65752106361795,-97.59130344311825,-65.48087013775447,-33.114350129340714,-32.89153475046049,-65.2642031670763,0.0
183600.0,-128.9275153680448,-64.78954729324836,0.0,-32.35808672542721,-97.00163553086864,-97.60089698085149,-65.35732043678368,-33.2241534543263,-33.001591664136804,-65.49494273232173,0.0
187200.0,-129.765225048918,-65.23639790699063,0.0,-32.569548284855394,-97.58811684830835,-98.25335117564511,-65.81691875840903,-33.4411011340443,-33.17778081952516,-65.8746389750825,0.0
190800.0,-130.64397927908658,-65.70702710327363,0.0,-32.826155034320614,-98.30300095168086,-98.9081353369066,-66.28116541331603,-33.70029339009921,-33.450742196109935,-66.36988179144731,0.0
194400.0,-130.70034960580858,-65.70998700850956,0.0,-32.82722336430777,-98.36228422559003,-98.92769700325854,-66.26905707293912,-33.698626182861034,-33.474506214711326,-66.40818226650565,0.0
198000.0,-128.9449161467733,-64.63525497290792,0.0,-32.186675805944176,-96.86967661522776,-97.58796118050678,-65.19010184057959,-33.058978805191856,-32.85443341572117,-65.3410225042624,0.0
201600.0,-126.19843055200369,-63.422858188088895,0.0,-31.65944100572372,-94.95619595862729,-95.49037167334976,-63.97408477901976,-32.53123380588728,-32.30888937334006,-64.09407887939993,0.0
205200.0,-125.26062586476661,-62.93867917808186,0.0,-31.408080038628057,-94.24015489534443,-94.77049016920185,-63.494024272998445,-32.28373686842461,-32.06183152045956,-63.60669634153098,0.0
208800.0,-124.11959206495447,-62.32782543181462,0.0,-31.082327440535067,-93.34633344838855,-93.89932083998546,-62.88687871064022,-31.95980821447584,-31.738685275607622,-62.99342475443086,0.0
212400.0,-121.29508102951117,-60.95181688613589,0.0,-30.381102228915886,-90.90869887029274,-91.76778862713185,-61.516876074178754,-31.262105785391018,-30.72857750641026,-61.261695462636936,0.0
216000.0,-114.71285102963802,-59.34680430523403,0.0,-29.585855519080702,-83.42304890677624,-87.05011230026292,-59.907991058576954,-30.46654340326573,-27.041159821735036,-55.64898680427445,0.0
219600.0,-113.37451879576875,-60.644577362956625,0.0,-30.213048834506694,-81.89842740815409,-86.26495776164072,-61.149003912267105,-31.0558877753896,-26.794398338192003,-54.689643255318614,0.0
223200.0,-125.25646988275382,-63.2409312235952,0.0,-31.512664601155954,-93.89828676200506,-94.63678924800679,-63.702896681834645,-32.32182522564357,-31.741718533977366,-63.159108758774636,0.0
226800.0,-126.5641128072342,-63.47897861736957,0.0,-31.659863200756785,-95.20926106757294,-95.64415046873809,-63.97766095363432,-32.48671894714869,-32.287583069739746,-64.14515463791837,0.0
230400.0,-126.6449715804375,-63.61381451953422,0.0,-31.7750302322305,-95.35286466880729,-95.76453166172774,-64.13823255200198,-32.622192129322755,-32.41530356253404,-64.31424624239965,0.0
234000.0,-127.81752647530956,-64.22463250788807,0.0,-32.08716952186133,-96.23740708514283,-96.67281998101717,-64.75837339991104,-32.9422281608753,-32.73081009217246,-64.93009965357524,0.0
237600.0,-128.36737054732345,-64.45951270141964,0.0,-32.181312911960966,-96.59602622939562,-97.08966617279758,-64.99157937270564,-33.03596036233168,-32.822339304641915,-65.1593097986417,0.0
