causality,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.,Causality.
name,T_wall_out,T_0_out,T_CCA_out,T_CCA_0,T_air,T_wall,T_v,T_ahu,mDot,mDot_ahu,d,T_amb,Q_rad,T_set,T_upper,T_lower,cp,c_BKA,cw,cl,hw,hBKA,hFenster,Aw,ABKA,AFenster,mRoom,q_T,s_T
type,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float
480,294.1607725438663,294.38660918327173,294.1296687896604,294.12966878966046,294.3866091832718,294.1607725438663,291.84541782745623,294.8611003599751,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
540,294.160872548001,294.4134148553717,294.12682130898696,294.12682130898696,294.4134148553717,294.16087254800095,291.84541782745623,294.8611003599751,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
600,294.16097304480303,294.4371091996268,294.123984189864,294.123984189864,294.4371091996268,294.16097304480303,291.84541782745623,294.8611003599751,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
660,294.1610739763724,294.45802949484755,294.1211567116691,294.1211567116691,294.4580294948476,294.16107397637234,291.84541782745623,294.8611003599751,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
720,294.16117529108647,294.4764764876654,294.1183382312911,294.11833823129115,294.4764764876654,294.1611752910865,291.84541782745623,294.8611003599751,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
780,294.16127694291976,294.4927183494512,294.1155281747357,294.1155281747357,294.49271834945125,294.1612769429197,291.84541782745623,294.8611003599751,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
840,294.16137889083836,294.50699420465577,294.1127260296391,294.11272602963913,294.50699420465577,294.16137889083836,291.84541782745623,294.8611003599751,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
900,294.1614810982563,294.5195172769778,294.1099313385962,294.10993133859614,294.51951727697787,294.1614810982562,291.84541782745623,294.8611003599751,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
960,294.1615835325589,294.5304776947639,294.10714369320516,294.1071436932051,294.5304776947639,294.1615835325589,291.84541782745623,294.8611003599751,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
1020,294.1616861646675,294.5400449925442,294.1043627287623,294.1043627287623,294.54004499254415,294.1616861646675,291.84541782745623,294.8611003599751,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
1080,294.16178896865944,294.54837034161625,294.101588119531,294.1015881195311,294.54837034161625,294.16178896865944,291.84541782745623,294.8611003599751,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
1140,294.1618919214262,294.55558853903193,294.09881957451654,294.09881957451654,294.55558853903193,294.1618919214262,291.84541782745623,294.8611003599751,0.1,0.025,0.0,299.0,0.0,294.55,300.0,290.0,4200,500000,518000,1000,0.17,2,1.23,13.85,39.5,6.6,60,1,1
