Time,radCon.Q_flow,sou.T_in,radCon.vol[1].T,radCon.vol[5].T
5421.6,-2235.916,310.946,309.91885,306.47418
5443.2,-2205.3665,310.742,309.72922,306.33127
5464.8,-2174.8823,310.538,309.53958,306.18823
5486.4,-2144.4646,310.334,309.34988,306.04507
5508,-2114.114,310.13,309.16016,305.90176
5529.6,-2083.8308,309.926,308.9704,305.75833
5551.2,-2053.6162,309.722,308.78058,305.61478
5572.8,-2023.4706,309.518,308.59073,305.47107
5594.4,-1993.3948,309.314,308.40085,305.3272
5616,-1963.3896,309.11,308.21094,305.18323
5637.6,-1933.4559,308.906,308.02097,305.0391
5659.2,-1903.5945,308.702,307.83096,304.8948
5680.8,-1873.806,308.498,307.64093,304.7504
5702.4,-1844.0914,308.294,307.45087,304.6058
5724,-1814.4515,308.09,307.26074,304.4611
5745.6,-1784.8873,307.886,307.07056,304.31622
5767.2,-1755.3997,307.682,306.88037,304.1712
5788.8,-1725.9895,307.478,306.69012,304.02603
5810.4,-1696.6577,307.274,306.49982,303.88068
5832,-1667.4054,307.07,306.30948,303.7352
5853.6,-1638.2335,306.866,306.1191,303.58954
5875.2,-1609.1431,306.662,305.92868,303.44373
5896.8,-1580.1351,306.458,305.73822,303.29773
5918.4,-1551.2108,306.254,305.5477,303.15158
5940,-1522.3712,306.05,305.35712,303.00525
5961.6,-1493.6176,305.846,305.1665,302.85876
5983.2,-1464.951,305.642,304.97586,302.7121
6004.8,-1436.3728,305.438,304.78516,302.56525
6026.4,-1407.8842,305.234,304.5944,302.41824
6048,-1379.4865,305.03,304.4036,302.27103
6069.6,-1351.1809,304.826,304.21274,302.12363
6091.2,-1322.9691,304.622,304.02185,301.97607
6112.8,-1294.8524,304.418,303.83087,301.8283
6134.4,-1266.8322,304.214,303.63986,301.68033
6156,-1238.91,304.01,303.44882,301.53217
6177.6,-1211.0876,303.806,303.2577,301.38382
6199.2,-1183.3666,303.602,303.06653,301.23526
6220.8,-1155.7485,303.398,302.8753,301.08652
6242.4,-1128.2354,303.194,302.68402,300.93753
6264,-1100.8287,302.99,302.49268,300.78833
6285.6,-1073.5306,302.786,302.30127,300.63895
6307.2,-1046.343,302.582,302.10983,300.48932
6328.8,-1019.268,302.378,301.9183,300.33948
6350.4,-992.3076,302.174,301.7267,300.1894
6372,-965.4642,301.97,301.5351,300.03906
6393.6,-938.7399,301.766,301.34338,299.88852
6415.2,-912.1373,301.562,301.1516,299.73773
6436.8,-885.65894,301.358,300.95978,299.58667
6458.4,-859.3073,301.154,300.76788,299.4354
6480,-833.08527,300.95,300.5759,299.28384
6501.6,-806.99567,300.746,300.38385,299.13202
6523.2,-781.04156,300.542,300.19174,298.97992
6544.8,-755.22614,300.338,299.99957,298.82755
6566.4,-729.5528,300.134,299.8073,298.6749
6588,-704.02496,299.93,299.61496,298.52194
6609.6,-678.6465,299.726,299.42255,298.3687
6631.2,-653.42126,299.522,299.23004,298.21515
6652.8,-628.35345,299.318,299.03748,298.06128
6674.4,-603.44745,299.114,298.84482,297.9071
6696,-578.708,298.91,298.65207,297.7526
6717.6,-554.1401,298.706,298.45923,297.59772
6739.2,-529.749,298.502,298.2663,297.4425
6760.8,-505.5406,298.298,298.07327,297.28693
6782.4,-481.5208,298.094,297.88016,297.13095
6804,-457.69632,297.89,297.68692,296.9746
6825.6,-434.0742,297.686,297.49362,296.81784
6847.2,-410.66208,297.482,297.30017,296.66068
6868.8,-387.46835,297.278,297.10663,296.50305
6890.4,-364.50208,297.074,296.91296,296.345
6912,-341.77316,296.87,296.71918,296.18646
6933.6,-319.29254,296.666,296.52527,296.0274
6955.2,-297.0723,296.462,296.33124,295.86786
6976.8,-275.12585,296.258,296.13705,295.70773
