Time,radCon.Q_flow,radCon.vol[1].T,sou.T,radCon.vol[5].T,sou.T_in
4082.4,-4714.425,321.41852,328.15,314.16516,323.594
4104,-4682.809,321.22913,328.15,314.02438,323.39
4125.6,-4651.194,321.0397,328.15,313.8836,323.186
4147.2,-4619.578,320.8503,328.15,313.74283,322.982
4168.8,-4587.9634,320.6609,328.15,313.60208,322.778
4190.4,-4556.348,320.4715,328.15,313.4613,322.574
4212,-4524.7334,320.28207,328.15,313.32053,322.37
4233.6,-4493.119,320.09268,328.15,313.17975,322.166
4255.2,-4461.5044,319.90326,328.15,313.039,321.962
4276.8,-4429.8906,319.71384,328.15,312.89822,321.758
4298.4,-4398.2764,319.52444,328.15,312.75745,321.554
4320,-4366.6626,319.33502,328.15,312.61667,321.35
4341.6,-4335.049,319.14563,328.15,312.4759,321.146
4363.2,-4303.4355,318.9562,328.15,312.33514,320.942
4384.8,-4271.822,318.76678,328.15,312.19437,320.738
4406.4,-4240.209,318.5774,328.15,312.0536,320.534
4428,-4208.5957,318.38797,328.15,311.9128,320.33
4449.6,-4176.9834,318.19858,328.15,311.77203,320.126
4471.2,-4145.3706,318.00916,328.15,311.63126,319.922
4492.8,-4113.7583,317.81973,328.15,311.49048,319.718
4514.4,-4082.146,317.63034,328.15,311.3497,319.514
4536,-4050.5342,317.44092,328.15,311.20892,319.31
4557.6,-4018.9224,317.25153,328.15,311.06815,319.106
4579.2,-3987.3108,317.0621,328.15,310.92737,318.902
4600.8,-3955.6995,316.87268,328.15,310.7866,318.698
4622.4,-3924.0881,316.6833,328.15,310.6458,318.494
4644,-3892.4773,316.49387,328.15,310.50504,318.29
4665.6,-3860.8665,316.30444,328.15,310.36426,318.086
4687.2,-3829.2559,316.11505,328.15,310.22348,317.882
4708.8,-3797.6455,315.92563,328.15,310.0827,317.678
4730.4,-3766.0354,315.7362,328.15,309.94193,317.474
4752,-3734.4253,315.5468,328.15,309.80115,317.27
4773.6,-3702.8157,315.3574,328.15,309.66037,317.066
4795.2,-3671.206,315.16797,328.15,309.5196,316.862
4816.8,-3639.597,314.97858,328.15,309.3788,316.658
4838.4,-3607.9878,314.78915,328.15,309.23804,316.454
4860,-3576.379,314.59973,328.15,309.09723,316.25
4881.6,-3544.7703,314.41034,328.15,308.95645,316.046
4903.2,-3513.1619,314.22092,328.15,308.81567,315.842
4924.8,-3481.5537,314.0315,328.15,308.6749,315.638
4946.4,-3449.9458,313.8421,328.15,308.53412,315.434
4968,-3418.338,313.65268,328.15,308.3933,315.23
4989.6,-3386.7305,313.46326,328.15,308.25253,315.026
5011.2,-3355.1233,313.27386,328.15,308.11176,314.822
5032.8,-3323.516,313.08444,328.15,307.97098,314.618
5054.4,-3291.9094,312.89502,328.15,307.83017,314.414
5076,-3260.303,312.7056,328.15,307.6894,314.21
5097.6,-3228.6965,312.5162,328.15,307.5486,314.006
5119.2,-3197.0906,312.32678,328.15,307.4078,313.802
5140.8,-3165.4846,312.13736,328.15,307.26703,313.598
